Index,File,Text,Label
0,Cruise-01-Installment-01-Narrative.txt,July 14.,DATE
1,Cruise-01-Installment-01-Narrative.txt,1963,DATE
2,Cruise-01-Installment-01-Narrative.txt,1,CARDINAL
3,Cruise-01-Installment-01-Narrative.txt,the first of June,DATE
4,Cruise-01-Installment-01-Narrative.txt,Monterey,GPE
5,Cruise-01-Installment-01-Narrative.txt,Diego,GPE
6,Cruise-01-Installment-01-Narrative.txt,June 30th,DATE
7,Cruise-01-Installment-01-Narrative.txt,July 1st,DATE
8,Cruise-01-Installment-01-Narrative.txt,the B Street Pier,FAC
9,Cruise-01-Installment-01-Narrative.txt,Dean Frederick Terman,ORG
10,Cruise-01-Installment-01-Narrative.txt,Stanford University,ORG
11,Cruise-01-Installment-01-Narrative.txt,Harve Carlson,PERSON
12,Cruise-01-Installment-01-Narrative.txt,the National Science Foundation,ORG
13,Cruise-01-Installment-01-Narrative.txt,John Ryther,PERSON
14,Cruise-01-Installment-01-Narrative.txt,the International Indian Ocean Expeditions,EVENT
15,Cruise-01-Installment-01-Narrative.txt,L. R. Blinks,PERSON
16,Cruise-01-Installment-01-Narrative.txt,the Hopkins Marine Station,ORG
17,Cruise-01-Installment-01-Narrative.txt,R. L. Bolin,PERSON
18,Cruise-01-Installment-01-Narrative.txt,Capt,ORG
19,Cruise-01-Installment-01-Narrative.txt,E. B. Olsen,PERSON
20,Cruise-01-Installment-01-Narrative.txt,the San Diego Yacht Club,ORG
21,Cruise-01-Installment-01-Narrative.txt,the Yacht Club,ORG
22,Cruise-01-Installment-01-Narrative.txt,almost two weeks,DATE
23,Cruise-01-Installment-01-Narrative.txt,a mile,QUANTITY
24,Cruise-01-Installment-01-Narrative.txt,Scripps Institution of Oceanography,ORG
25,Cruise-01-Installment-01-Narrative.txt,Point Loma,ORG
26,Cruise-01-Installment-01-Narrative.txt,2205,DATE
27,Cruise-01-Installment-01-Narrative.txt,July 13th,DATE
28,Cruise-01-Installment-01-Narrative.txt,the Bay.,LOC
29,Cruise-01-Installment-01-Narrative.txt,midnight,TIME
30,Cruise-01-Installment-01-Narrative.txt,the night,TIME
31,Cruise-01-Installment-01-Narrative.txt,about 16,CARDINAL
32,Cruise-01-Installment-01-Narrative.txt,morning,TIME
33,Cruise-01-Installment-01-Narrative.txt,only one,CARDINAL
34,Cruise-01-Installment-01-Narrative.txt,Thompson,PERSON
35,Cruise-01-Installment-01-Narrative.txt,Earth,LOC
36,Cruise-01-Installment-01-Narrative.txt,the night,TIME
37,Cruise-01-Installment-01-Narrative.txt,three,CARDINAL
38,Cruise-01-Installment-01-Narrative.txt,fish,HELM
39,Cruise-01-Installment-01-Narrative.txt,Cypselurus,PRODUCT
40,Cruise-01-Installment-01-Narrative.txt,first,ORDINAL
41,Cruise-01-Installment-01-Narrative.txt,Station 1,DATE
42,Cruise-01-Installment-01-Narrative.txt,This evening,TIME
43,Cruise-01-Installment-01-Narrative.txt,1-m,QUANTITY
44,Cruise-01-Installment-01-Narrative.txt,plankton,HELM
45,Cruise-01-Installment-01-Narrative.txt,220,CARDINAL
46,Cruise-01-Installment-01-Narrative.txt,first,ORDINAL
47,Cruise-01-Installment-01-Narrative.txt,first,ORDINAL
48,Cruise-01-Installment-01-Narrative.txt,Thalia,GPE
49,Cruise-01-Installment-01-Narrative.txt,Chaetognatha,PERSON
50,Cruise-01-Installment-01-Narrative.txt,Saphirina,GPE
51,Cruise-01-Installment-01-Narrative.txt,Streetsia,GPE
52,Cruise-01-Installment-01-Narrative.txt,Phronima,GPE
53,Cruise-01-Installment-01-Narrative.txt,"July 15, 1963",DATE
54,Cruise-01-Installment-01-Narrative.txt,hours,TIME
55,Cruise-01-Installment-01-Narrative.txt,wood,HELM
56,Cruise-01-Installment-01-Narrative.txt,birds,HELM
57,Cruise-01-Installment-01-Narrative.txt,bird,HELM
58,Cruise-01-Installment-01-Narrative.txt,Fregata,ORG
59,Cruise-01-Installment-01-Narrative.txt,yesterday,DATE
60,Cruise-01-Installment-01-Narrative.txt,Shortly after noon,TIME
61,Cruise-01-Installment-01-Narrative.txt,today,DATE
62,Cruise-01-Installment-01-Narrative.txt,Pacific,LOC
63,Cruise-01-Installment-01-Narrative.txt,Vellela vellela,HELM
64,Cruise-01-Installment-01-Narrative.txt,Thompson,PERSON
65,Cruise-01-Installment-01-Narrative.txt,another morning,TIME
66,Cruise-01-Installment-01-Narrative.txt,this afternoon,TIME
67,Cruise-01-Installment-01-Narrative.txt,1,CARDINAL
68,Cruise-01-Installment-01-Narrative.txt,plankton,HELM
69,Cruise-01-Installment-01-Narrative.txt,3000,CARDINAL
70,Cruise-01-Installment-01-Narrative.txt,one,CARDINAL
71,Cruise-01-Installment-01-Narrative.txt,yesterday,DATE
72,Cruise-01-Installment-01-Narrative.txt,fish,HELM
73,Cruise-01-Installment-01-Narrative.txt,Cyclothone,ORG
74,Cruise-01-Installment-01-Narrative.txt,500,CARDINAL
75,Cruise-01-Installment-01-Narrative.txt,Lantern,NORP
76,Cruise-01-Installment-01-Narrative.txt,about 8,CARDINAL
77,Cruise-01-Installment-01-Narrative.txt,"July 16, 1963",DATE
78,Cruise-01-Installment-01-Narrative.txt,Thompson,PERSON
79,Cruise-01-Installment-01-Narrative.txt,this morning,TIME
80,Cruise-01-Installment-01-Narrative.txt,this morning,TIME
81,Cruise-01-Installment-01-Narrative.txt,5,CARDINAL
82,Cruise-01-Installment-01-Narrative.txt,8544,CARDINAL
83,Cruise-01-Installment-01-Narrative.txt,only 1500,CARDINAL
84,Cruise-01-Installment-01-Narrative.txt,afternoon,TIME
85,Cruise-01-Installment-01-Narrative.txt,July 17.,DATE
86,Cruise-01-Installment-01-Narrative.txt,two,CARDINAL
87,Cruise-01-Installment-01-Narrative.txt,Thompson,PERSON
88,Cruise-01-Installment-01-Narrative.txt,Bennett,PERSON
89,Cruise-01-Installment-01-Narrative.txt,birds,HELM
90,Cruise-01-Installment-01-Narrative.txt,Kodachrome,GPE
91,Cruise-01-Installment-01-Narrative.txt,Bennett,PERSON
92,Cruise-01-Installment-01-Narrative.txt,afternoon,TIME
93,Cruise-01-Installment-01-Narrative.txt,about five,CARDINAL
94,Cruise-01-Installment-01-Narrative.txt,Tucker,PERSON
95,Cruise-01-Installment-01-Narrative.txt,about 700 feet,QUANTITY
96,Cruise-01-Installment-01-Narrative.txt,"July 18, 1953",DATE
97,Cruise-01-Installment-01-Narrative.txt,Vellela,HELM
98,Cruise-01-Installment-01-Narrative.txt,floating,HELM
99,Cruise-01-Installment-01-Narrative.txt,NE,GPE
100,Cruise-01-Installment-01-Narrative.txt,SW,ORG
101,Cruise-01-Installment-01-Narrative.txt,colonies,GPE
102,Cruise-01-Installment-01-Narrative.txt,Vellela,HELM
103,Cruise-01-Installment-01-Narrative.txt,Vellela,HELM
104,Cruise-01-Installment-01-Narrative.txt,Janthina,HELM
105,Cruise-01-Installment-01-Narrative.txt,Yesterday,DATE
106,Cruise-01-Installment-01-Narrative.txt,today,DATE
107,Cruise-01-Installment-01-Narrative.txt,Janthina,HELM
108,Cruise-01-Installment-01-Narrative.txt,float,HELM
109,Cruise-01-Installment-01-Narrative.txt,float,HELM
110,Cruise-01-Installment-01-Narrative.txt,Vellela,HELM
111,Cruise-01-Installment-01-Narrative.txt,Janthina,HELM
112,Cruise-01-Installment-01-Narrative.txt,Vellela,HELM
113,Cruise-01-Installment-01-Narrative.txt,Vellela,HELM
114,Cruise-01-Installment-01-Narrative.txt,Fiona,PERSON
115,Cruise-01-Installment-01-Narrative.txt,Vellela,HELM
116,Cruise-01-Installment-01-Narrative.txt,Vellela,HELM
117,Cruise-01-Installment-01-Narrative.txt,Vellela,HELM
118,Cruise-01-Installment-01-Narrative.txt,Alepas,GPE
119,Cruise-01-Installment-01-Narrative.txt,Vellela,HELM
120,Cruise-01-Installment-01-Narrative.txt,two,CARDINAL
121,Cruise-01-Installment-01-Narrative.txt,wood,HELM
122,Cruise-01-Installment-01-Narrative.txt,half,CARDINAL
123,Cruise-01-Installment-01-Narrative.txt,barnacles,HELM
124,Cruise-01-Installment-01-Narrative.txt,Lepas,PERSON
125,Cruise-01-Installment-01-Narrative.txt,two,CARDINAL
126,Cruise-01-Installment-01-Narrative.txt,wood,HELM
127,Cruise-01-Installment-01-Narrative.txt,barnacles,HELM
128,Cruise-01-Installment-01-Narrative.txt,This afternoon,TIME
129,Cruise-01-Installment-01-Narrative.txt,21,CARDINAL
130,Cruise-01-Installment-01-Narrative.txt,first,ORDINAL
131,Cruise-01-Installment-01-Narrative.txt,second,ORDINAL
132,Cruise-01-Installment-01-Narrative.txt,second,ORDINAL
133,Cruise-01-Installment-01-Narrative.txt,Phyllirhoe,PERSON
134,Cruise-01-Installment-01-Narrative.txt,two,CARDINAL
135,Cruise-01-Installment-01-Narrative.txt,Bennett,PERSON
136,Cruise-01-Installment-01-Narrative.txt,first,ORDINAL
137,Cruise-01-Installment-01-Narrative.txt,July 25.,DATE
138,Cruise-01-Installment-01-Narrative.txt,The days,DATE
139,Cruise-01-Installment-01-Narrative.txt,Tucker,PERSON
140,Cruise-01-Installment-01-Narrative.txt,Honolulu,GPE
141,Cruise-01-Installment-01-Narrative.txt,3000,CARDINAL
142,Cruise-01-Installment-01-Narrative.txt,plankton,HELM
143,Cruise-01-Installment-01-Narrative.txt,first,ORDINAL
144,Cruise-01-Installment-01-Narrative.txt,Glauca,PERSON
145,Cruise-01-Installment-01-Narrative.txt,squid,HELM
146,Cruise-01-Installment-01-Narrative.txt,one,CARDINAL
147,Cruise-01-Installment-01-Narrative.txt,Rhabdosoma,ORG
148,Cruise-01-Installment-01-Narrative.txt,about 4 inches,QUANTITY
149,Cruise-01-Installment-01-Narrative.txt,only about one,CARDINAL
150,Cruise-01-Installment-01-Narrative.txt,one,CARDINAL
151,Cruise-01-Installment-01-Narrative.txt,eight,CARDINAL
152,Cruise-01-Installment-01-Narrative.txt,oil,HELM
153,Cruise-01-Installment-01-Narrative.txt,Robert Beeman,PERSON
154,Cruise-01-Installment-01-Narrative.txt,Richard Conrad,PERSON
155,Cruise-01-Installment-01-Narrative.txt,Joan Gerdts,PERSON
156,Cruise-01-Installment-01-Narrative.txt,more than 10,CARDINAL
157,Cruise-01-Installment-01-Narrative.txt,Richard Mariscal,PERSON
158,Cruise-01-Installment-01-Narrative.txt,Donald Thompson,PERSON
159,Cruise-01-Installment-01-Narrative.txt,Today,DATE
160,Cruise-01-Installment-01-Narrative.txt,first,ORDINAL
161,Cruise-01-Installment-01-Narrative.txt,Today,DATE
162,Cruise-01-Installment-01-Narrative.txt,about half,CARDINAL
163,Cruise-01-Installment-01-Narrative.txt,about a dozen,CARDINAL
164,Cruise-01-Installment-01-Narrative.txt,Delphinus,GPE
165,Cruise-01-Installment-01-Narrative.txt,about a quarter of an hour,DATE
166,Cruise-01-Installment-01-Narrative.txt,Laysan,PERSON
167,Cruise-01-Installment-01-Narrative.txt,albatross,HELM
168,Cruise-01-Installment-01-Narrative.txt,birds,HELM
169,Cruise-01-Installment-01-Narrative.txt,only three,CARDINAL
170,Cruise-01-Installment-01-Narrative.txt,Danish,NORP
171,Cruise-01-Installment-01-Narrative.txt,BELGIAN REEFER,ORG
172,Cruise-01-Installment-01-Narrative.txt,July 30.,DATE
173,Cruise-01-Installment-01-Narrative.txt,Kauai Channel,PERSON
174,Cruise-01-Installment-01-Narrative.txt,Diamond Head,PERSON
175,Cruise-01-Installment-01-Narrative.txt,Honolulu,GPE
176,Cruise-01-Installment-01-Narrative.txt,5 o'clock this afternoon,TIME
177,Cruise-01-Installment-01-Narrative.txt,The intervening days,DATE
178,Cruise-01-Installment-01-Narrative.txt,Hiss Bennett,PERSON
179,Cruise-01-Installment-01-Narrative.txt,Thompson,PERSON
180,Cruise-01-Installment-01-Narrative.txt,One,CARDINAL
181,Cruise-01-Installment-01-Narrative.txt,Vellela,HELM
182,Cruise-01-Installment-01-Narrative.txt,several hundred miles,QUANTITY
183,Cruise-01-Installment-01-Narrative.txt,plankton,HELM
184,Cruise-01-Installment-01-Narrative.txt,Sunday,DATE
185,Cruise-01-Installment-01-Narrative.txt,only a couple of days,DATE
186,Cruise-01-Installment-01-Narrative.txt,Pacific,LOC
187,Cruise-01-Installment-01-Narrative.txt,four,CARDINAL
188,Cruise-01-Installment-01-Narrative.txt,days,DATE
189,Cruise-01-Installment-01-Narrative.txt,1030,DATE
190,Cruise-01-Installment-01-Narrative.txt,the 23rd,DATE
191,Cruise-01-Installment-01-Narrative.txt,last night,TIME
192,Cruise-01-Installment-01-Narrative.txt,this morning,TIME
193,Cruise-01-Installment-01-Narrative.txt,up to 13,CARDINAL
194,Cruise-01-Installment-01-Narrative.txt,Oahu,ORG
195,Cruise-01-Installment-01-Narrative.txt,Pago Pago,ORG
196,Cruise-01-Installment-01-Narrative.txt,Suva,GPE
197,Cruise-01-Installment-01-Narrative.txt,Rolf L. Bolin,PERSON
0,Cruise-01-Installment-02-Narrative.txt,July 14.,DATE
1,Cruise-01-Installment-02-Narrative.txt,1963,DATE
2,Cruise-01-Installment-02-Narrative.txt,1,CARDINAL
3,Cruise-01-Installment-02-Narrative.txt,the first of June,DATE
4,Cruise-01-Installment-02-Narrative.txt,Monterey,GPE
5,Cruise-01-Installment-02-Narrative.txt,Diego,GPE
6,Cruise-01-Installment-02-Narrative.txt,June 30th,DATE
7,Cruise-01-Installment-02-Narrative.txt,July 1st,DATE
8,Cruise-01-Installment-02-Narrative.txt,the B Street Pier,FAC
9,Cruise-01-Installment-02-Narrative.txt,Dean Frederick Terman,ORG
10,Cruise-01-Installment-02-Narrative.txt,Stanford University,ORG
